X,Y,Z,Road_Name
150.3,0.03,-98.4,straight_long
149.9,0.03,291.6,straight_long
9.5,0.03,79.92561,left_turn_med
71.14999,0.03,79.87001,left_turn_med
104.2,0,79.8,left_turn_med
136.2,0,76.4,left_turn_med
159.8,0,66.5,left_turn_med
177.4001,0,50.4,left_turn_med
188,0.03933297,30.9,left_turn_med
195.8,0.03,6.9,left_turn_med
199.2,0.03,-16.6,left_turn_med
200.2759,0.03,-36.90001,left_turn_med
200.0667,0.03,-56.63586,left_turn_med
199.8,0.03,-120.1,left_turn_med
-70.1,0.03,280.1,u_turn_long
-70,0.03,228.5,u_turn_long
-69.79999,0.03,192.4,u_turn_long
-68,0.03,155.5,u_turn_long
-60.85754,0.03,126.7912,u_turn_long
-46.39069,0.03,97.85764,u_turn_long
-20.23926,0.03,75.04462,u_turn_long
18.38556,0.03,62.15344,u_turn_long
70.59998,0.03,58.40002,u_turn_long
116.5,0.03,59.09998,u_turn_long
161.3,0.03,63.29999,u_turn_long
195.7,0.03,74.5,u_turn_long
223.2,0.03,96.29999,u_turn_long
239.8,0.03,118.7,u_turn_long
251.5,0.03,146,u_turn_long
258.5887,0.03,183.2322,u_turn_long
259.8898,0.03,224.7993,u_turn_long
259.7,0,284.91,u_turn_long
-49.94,0,10.28326,right_turn_short
-49.78,0,63.3,right_turn_short
-48.60001,0.03,83,right_turn_short
-41.12356,0.03,97.23169,right_turn_short
-32.39761,0.03,105.8,right_turn_short
-20.89761,0.03,110.6,right_turn_short
-4.1,0.03,112.5,right_turn_short
11.50242,0.03,112.4521,right_turn_short
71,0.03,112.5043,right_turn_short
0.03622437,0.03,79.92561,left_turn_short
52.04999,0.03,79.98262,left_turn_short
67.39999,0.03,78.59999,left_turn_short
83.10001,0.03,71.00002,left_turn_short
93.69998,0.03,60.09999,left_turn_short
98.67966,0.03,45.67387,left_turn_short
100.4136,0.03,27.18199,left_turn_short
100.3,0.03,9.699997,left_turn_short
99.86002,0.03,-0.36,left_turn_short
99.87851,0.03,-51.8,left_turn_short
-38.44,0.03,-29.78,s_turn_short
-38.37,0.03,-82.64999,s_turn_short
-38.4491,0.03,-101.0201,s_turn_short
-36.15211,0.03,-112.0786,s_turn_short
-28.86396,0.03,-121.9295,s_turn_short
-21.64002,0.03,-126.334,s_turn_short
-11,0.03,-129.2,s_turn_short
1.000002,0.03,-129.8,s_turn_short
13.53909,0.03,-129.393,s_turn_short
25.72379,0.03,-127.1536,s_turn_short
35.29611,0.03,-121.7554,s_turn_short
42.31369,0.03,-114.1953,s_turn_short
46.59573,0.03,-104.5337,s_turn_short
48.33206,0.03,-94.72742,s_turn_short
49.11301,0.03,-80.30206,s_turn_short
49.23184,0.03,-66.57449,s_turn_short
49.70724,0.03,-43.02756,s_turn_short
49.72379,0.03,-26.85361,s_turn_short
50.02377,0.03,-14.53119,s_turn_short
50.12399,0.03,14.34641,s_turn_short
51.90305,0.03,29.6814,s_turn_short
56.33237,0.03,42.92291,s_turn_short
63.52377,0.03,53.44641,s_turn_short
73.22379,0.03,59.54639,s_turn_short
85.4498,0.03,62.54639,s_turn_short
100.2238,0.03,63.54639,s_turn_short
116.0237,0.03,61.6564,s_turn_short
129.7237,0.03,54.64639,s_turn_short
138.6237,0.03,43.34641,s_turn_short
141.1237,0.03,29.6814,s_turn_short
141.8,0.03,14.39999,s_turn_short
141.57,0.03,-8.769989,s_turn_short
141.6,0.03,-64.60001,s_turn_short
9.05,0.03,49.89,left_turn_long
61.60001,0.03,49.78616,left_turn_long
117.1418,0.03,53.67676,left_turn_long
161.7,0.03,61.5,left_turn_long
194,0.03,77.60001,left_turn_long
226.2,0.03,107.2,left_turn_long
248.5877,0.03,146.8437,left_turn_long
258.5887,0.03,183.2322,left_turn_long
259.8898,0.03,224.7993,left_turn_long
259.7,0.03,284.3,left_turn_long
9.05,0.03,49.89,straight_short
845.62,0.03,-481.62,straight_short
