"subject_id","condition","mean_log_DTW"
"atom","unfamiliar",-4.40729954844403
"baggy","familiar",-4.72228618415727
"bash","familiar",-3.99063719758977
"blank","unfamiliar",-2.7841777020301
"boned","familiar",-4.17050817880732
"brim","unfamiliar",-4.57229924343603
"cargo","familiar",-2.87630008397633
"chef","unfamiliar",-4.04194849343962
"clerk","unfamiliar",-2.91504023936351
"debt","unfamiliar",-2.49143799957207
"filth","unfamiliar",-4.8073961593775
"five","familiar",-4.97552782450779
"grid","unfamiliar",-2.52496930102359
"grip","familiar",-4.91771624377268
"judge","familiar",-4.46973076284261
"lens","unfamiliar",-3.65799376796299
"limb","unfamiliar",-3.71958626908043
"most","unfamiliar",-4.09485913062612
"mule","familiar",-3.69368946366923
"poker","familiar",-4.55484181569633
"polio","familiar",-4.36408183851816
"proof","unfamiliar",-3.38450720836381
"rerun","familiar",-4.81496216956069
"slate","familiar",-4.69952142558851
"slept","familiar",-4.33065270302376
"slimy","unfamiliar",-4.66982136213821
"swarm","unfamiliar",-2.00654339297767
"trial","familiar",-2.84908420878427
"wok","unfamiliar",-3.97676997603671
"yeast","familiar",-4.12868716155349
