Drawing ID,Score,Normalized Score,Score Std,Condition
7iQS,18.875,0.94375,0.4827762594273528,control
68qW,18.375,0.91875,0.47186465220442186,scrambled_landmarks
xbvL,16.875,0.84375,0.90355201842506,control
W77r,16.375,0.81875,1.2965298235418008,scrambled_landmarks
8YDo,15.25,0.7625,0.375,control
1jel,15.25,0.7625,1.4049762750072805,scrambled_landmarks
jFlG,14.75,0.7375,0.9437293044088437,scrambled_landmarks
e0CN,13.875,0.69375,0.6643841132959156,control
YeWH,13.75,0.6875,0.739509972887452,control
1s5r,13.5,0.675,1.3149778198382918,control
B3Fs,13.375,0.66875,0.7594885888982577,scrambled_landmarks
BBPd,13.125,0.65625,0.8439428791887122,control
bd7i,12.875,0.64375,0.90355201842506,scrambled_segments
MYXs,12.625,0.63125,0.9756141228306746,control
rT6Y,12.375,0.61875,1.0575866788747545,scrambled_segments
8Ejt,12.375,0.61875,0.6875,control
5CPm,12.25,0.6125,0.5153882032022076,control
RZUy,12.125,0.60625,1.1290436587366024,control
vfD9,11.75,0.5875,1.2644992421244599,scrambled_landmarks
7eYs,11.625,0.58125,0.7315437444199766,scrambled_segments
yrkT,11.625,0.58125,1.288470508005519,control
Id11,11.375,0.56875,0.7594885888982577,control
IGHZ,11.25,0.5625,0.8508574106942557,scrambled_landmarks
z0Ko,11.125,0.55625,1.2263385543967864,scrambled_landmarks
Zq2a,10.75,0.5375,0.9437293044088437,scrambled_segments
y3F0,10.75,0.5375,0.4732423621500228,scrambled_segments
zV13,10.5,0.525,1.3501543121683042,control
aMff,10.25,0.5125,0.5051814855409226,control
mtXe,10.125,0.50625,0.6485159340113908,scrambled_landmarks
VKnw,9.875,0.49375,1.200585794518659,scrambled_landmarks
plvD,9.875,0.49375,0.6155536126122565,scrambled_landmarks
Aqhz,9.75,0.4875,0.9655525188547056,scrambled_landmarks
ngUC,9.5,0.475,0.75,scrambled_segments
EMke,9.25,0.4625,1.1203608049790628,scrambled_segments
Hqop,9.125,0.45625,0.8682777493406127,scrambled_segments
V5AN,9.125,0.45625,0.8439428791887122,scrambled_segments
RRXX,9.0,0.45,0.8720187306856813,scrambled_segments
FvIH,9.0,0.45,0.8897565210026093,control
7p9e,8.875,0.44375,0.6155536126122565,control
JwpD,8.875,0.44375,0.90355201842506,scrambled_landmarks
0X07,8.5,0.425,1.015504800579495,scrambled_segments
dHVr,8.125,0.40625,0.9263222531423212,scrambled_segments
QWd7,8.0,0.4,0.6535161308899218,scrambled_landmarks
YdkM,8.0,0.4,1.1726039399558574,scrambled_segments
sSwD,7.75,0.3875,0.6808389432653413,scrambled_segments
MhPW,7.625,0.38125,0.7315437444199766,scrambled_landmarks
2UGt,7.375,0.36875,0.7730823048033113,scrambled_landmarks
5SYM,7.25,0.3625,0.8508574106942557,scrambled_landmarks
4ZPw,7.0,0.35,0.9185586535436918,scrambled_segments
IsXp,6.875,0.34375,0.9375,control
Kj6r,6.625,0.33125,0.42542870534712784,scrambled_landmarks
5E4C,5.625,0.28125,0.47186465220442186,scrambled_landmarks
LfvQ,5.625,0.28125,0.6875,scrambled_segments
9YtP,5.625,0.28125,0.7730823048033113,scrambled_segments
qRmw,5.6,0.27999999999999997,0.707401347656807,control
C1ca,5.5,0.275,0.75,control
pMVB,4.75,0.2375,0.7107800878846658,scrambled_segments
QMXt,4.75,0.2375,0.4732423621500228,scrambled_landmarks
9lgL,4.0,0.2,0.6123724356957945,scrambled_segments
ypkg,1.625,0.08125,0.1875,scrambled_segments
