subject_id,Segments,Segment Costs,Condition
agony,chicane,0.0048,control
agony,triple_s,0.0142,control
agony,symmetric_parabolic,0.0038,control
agony,traffic_circle,0.0146,control
agony,asymmetric_parabolic_2,0.0173,control
agony,t_turn,0.0038,control
agony,asymmetric_parabolic_1,0.0083,control
agony,spiral,0.0074,control
both,chicane,0.0059,control
both,triple_s,0.0572,control
both,symmetric_parabolic,0.0443,control
both,traffic_circle,0.0278,control
both,asymmetric_parabolic_2,0.0349,control
both,t_turn,0.014,control
both,asymmetric_parabolic_1,0.0303,control
both,spiral,0.1674,control
cargo,chicane,0.0033,control
cargo,triple_s,0.0042,control
cargo,symmetric_parabolic,0.0194,control
cargo,traffic_circle,0.0233,control
cargo,asymmetric_parabolic_2,0.0133,control
cargo,t_turn,0.0073,control
cargo,asymmetric_parabolic_1,0.0196,control
cargo,spiral,0.0129,control
cheek,chicane,0.0066,control
cheek,triple_s,0.0052,control
cheek,symmetric_parabolic,0.0202,control
cheek,traffic_circle,0.0216,control
cheek,asymmetric_parabolic_2,0.0273,control
cheek,t_turn,0.0131,control
cheek,asymmetric_parabolic_1,0.0238,control
cheek,spiral,0.0205,control
cub,chicane,0.0046,control
cub,triple_s,0.0757,control
cub,symmetric_parabolic,0.0044,control
cub,traffic_circle,0.0149,control
cub,asymmetric_parabolic_2,0.0361,control
cub,t_turn,0.0086,control
cub,asymmetric_parabolic_1,0.0081,control
cub,spiral,0.0106,control
desk,chicane,0.0118,control
desk,triple_s,0.006,control
desk,symmetric_parabolic,0.0193,control
desk,traffic_circle,0.0101,control
desk,asymmetric_parabolic_2,0.0188,control
desk,t_turn,0.0249,control
desk,asymmetric_parabolic_1,0.0092,control
desk,spiral,0.0219,control
dingy,chicane,0.0133,control
dingy,triple_s,0.068,control
dingy,symmetric_parabolic,0.0284,control
dingy,traffic_circle,0.0184,control
dingy,asymmetric_parabolic_2,0.0212,control
dingy,t_turn,0.0056,control
dingy,asymmetric_parabolic_1,0.0225,control
dingy,spiral,0.1294,control
fetch,chicane,0.0093,control
fetch,triple_s,0.0443,control
fetch,symmetric_parabolic,0.0404,control
fetch,traffic_circle,0.0212,control
fetch,asymmetric_parabolic_2,0.1329,control
fetch,t_turn,0.0319,control
fetch,asymmetric_parabolic_1,0.1364,control
fetch,spiral,0.072,control
final,chicane,0.0056,control
final,triple_s,0.0043,control
final,symmetric_parabolic,0.0391,control
final,traffic_circle,0.01,control
final,asymmetric_parabolic_2,0.0347,control
final,t_turn,0.004,control
final,asymmetric_parabolic_1,0.0452,control
final,spiral,0.0314,control
floss,chicane,0.0071,control
floss,triple_s,0.1372,control
floss,symmetric_parabolic,0.031,control
floss,traffic_circle,0.0228,control
floss,asymmetric_parabolic_2,0.0247,control
floss,t_turn,0.0042,control
floss,asymmetric_parabolic_1,0.0178,control
floss,spiral,0.0256,control
fried,chicane,0.0026,control
fried,triple_s,0.0033,control
fried,symmetric_parabolic,0.0055,control
fried,traffic_circle,0.0076,control
fried,asymmetric_parabolic_2,0.0056,control
fried,t_turn,0.0052,control
fried,asymmetric_parabolic_1,0.0064,control
fried,spiral,0.0044,control
mount,chicane,0.006,control
mount,triple_s,0.0146,control
mount,symmetric_parabolic,0.0086,control
mount,traffic_circle,0.0116,control
mount,asymmetric_parabolic_2,0.0215,control
mount,t_turn,0.0095,control
mount,asymmetric_parabolic_1,0.0424,control
mount,spiral,0.0134,control
pagan,chicane,0.0067,control
pagan,triple_s,0.0993,control
pagan,symmetric_parabolic,0.028,control
pagan,traffic_circle,0.0838,control
pagan,asymmetric_parabolic_2,0.0202,control
pagan,t_turn,0.0064,control
pagan,asymmetric_parabolic_1,0.0067,control
pagan,spiral,0.0277,control
slot,chicane,0.0026,control
slot,triple_s,0.0035,control
slot,symmetric_parabolic,0.0038,control
slot,traffic_circle,0.0057,control
slot,asymmetric_parabolic_2,0.0145,control
slot,t_turn,0.0034,control
